id_option;option;id_category
C;Classic Series;TV
M;Modern Series;TV
AW;The War Doctor;A
AWB;The War Doctor Begins;A
A9;The Ninth Doctor Adventures;A
A10;The Tenth Doctor Adventures;A
A11;The Eleventh Doctor Chronicles;A
A12;The Twelfth Doctor Chronicles;A
A50;Destiny of the Doctor;A
A60;Once and Future;A
DWM;Doctor Who Magazine;B
T;Titan Comics;B
N;Novels;B
TW;Torchwood;SO
SJA;The Sarah Jane Adventures;SO
CL;Class;SO
TLV;Time Lord Victorious;SO
K9;K-9;SO
DK;Daleks!;SO
DD;Doom's Day;SO
